"module_num","module_name","phenotype_num","phenotype_name","former_dsm5_name","key_allostatic_mechanism","primary_proxy","somatic_debt_threshold"
"01","Neurodevelopmental","16","Language Ontogeny — Social Communication Subtype","Language Disorder with Pragmatic Impairment","Combined phonologic-syntactic and pragmatic network disruption with involvement of both perisylvian and social cognition networks","Conversational turn-taking count","Minimal verbal output; absent pragmatic understanding; severe social impairment"
"01","Neurodevelopmental","17","ADHD — Inattentive Predominance","ADHD Predominantly Inattentive Presentation","Prefrontal cognitive circuit hypofunction without significant motor hyperactivity; reduced DLPFC working memory capacity and sustained attention","Digit span","Theta/beta ratio >3.5; digit span forward <5; RT variability >70 ms"
"01","Neurodevelopmental","18","ADHD — Hyperactive-Impulsive Predominance","ADHD Predominantly Hyperactive-Impulsive Presentation","Striatal-cortical disinhibition with motor program overcapture and impaired response inhibition; elevated dopaminergic tone in ventral striatum","Finger-tapping speed","Inability to sit still for >2 min; continuous fidgeting; impaired Go/No-Go performance"
"02","Schizophrenia Spectrum","1","Schizotypal Phenotype","Schizotypal Personality Disorder","Temporal-limbic dysgenesis with reduced gray matter volume in the left superior temporal gyrus and parahippocampal regions producing aberrant salience attribution to neutral stimuli","Pupillary light reflex latency","P50 ratio >0.7; hippocampal volume <5th percentile for age; absent dexamethasone suppression"
"02","Schizophrenia Spectrum","2","Delusional Phenotype","Delusional Disorder","Striatal hyperdopaminergia confined predominantly to associative striatum producing fixed false beliefs without global cognitive disorganization","Glabellar tap reflex","Striatal F-DOPA uptake >1.3 Ki; complete dexamethasone nonsuppression; reduced hippocampal volume"
"02","Schizophrenia Spectrum","3","Brief Psychotic Phenotype","Brief Psychotic Disorder","Acute allostatic surge precipitated by a discrete stressor triggering a transient hyperdopaminergic state in the mesolimbic pathway","Radial pulse amplitude","Cortisol >25 mcg/dL; plasma HVA elevated >50% above baseline; abnormal Luria sequences"
"02","Schizophrenia Spectrum","4","Schizophreniform Phenotype","Schizophreniform Disorder","Intermediate between transient stress-dopamine surge and fixed structural deterioration; elevated striatal dopamine synthesis capacity with absent or minimal gray matter volume loss","Grip strength asymmetry","Striatal F-DOPA uptake >1.3 Ki; ventricular enlargement >2 SD above mean; progressive cortical volume loss"
"02","Schizophrenia Spectrum","5","Schizophrenia Phenotype","Schizophrenia","Progressive neurodevelopmental encephalopathy characterized by irreversible alterations in cortical architecture — reduced gray matter volume, ventricular enlargement, decreased dendritic arborization","Neurological soft signs battery","Striatal F-DOPA >1.3 Ki; ventricular-brain ratio >0.35; progressive volume loss on serial MRI; absent dexamethasone suppression"
"02","Schizophrenia Spectrum","6","Schizoaffective Phenotype","Schizoaffective Disorder","Dual-pathway allostatic phenotype wherein both the dopaminergic (psychotic) and serotonergic/noradrenergic (mood) regulatory systems operate outside homeostatic bounds","Deep tendon reflex amplitude","HVA >1.3 Ki; DST nonsuppression; elevated CSF 5-HIAA; absent nocturnal blood pressure dip"
"02","Schizophrenia Spectrum","7","Substance/Medication-Induced Psychotic Phenotype","Substance/Medication-Induced Psychotic Disorder","Exogenous pharmacological agents directly hijacking the brain's dopamine, glutamate, and serotonin signaling systems","Cutaneous tracking (needle marks)","Positive toxicology matching symptom type; autonomic instability; elevated creatine kinase"
"02","Schizophrenia Spectrum","8","Psychotic Phenotype Due to Another Medical Condition","Psychotic Disorder Due to Another Medical Condition","Secondary psychotic syndrome arising from demonstrable structural, inflammatory, metabolic, or endocrine pathology that directly disrupts neural circuits mediating salience processing","Nuchal rigidity","Abnormal EEG (temporal spikes); positive autoimmune antibodies in CSF; endocrine panels outside reference range"
"02","Schizophrenia Spectrum","9","Catatonia Associated With Another Psychotic Phenotype","Catatonia Associated With Another Mental Disorder","Extreme motor-intentional system failure wherein GABAergic inhibition within the basal ganglia-thalamo-cortical motor loop switches into pathological hypoactivity or hyperactivity","Gegenhalten (paratonia)","3+ catatonic signs present; elevated CK >1000 U/L; fever; autonomic instability"
"02","Schizophrenia Spectrum","10","Catatonic Phenotype Due to Another Medical Condition","Catatonic Disorder Due to Another Medical Condition","Catatonia arising from a demonstrable medical etiology sharing the same final common motor-circuit failure: GABA-A hypofunction, dopamine D2 blockade, and NMDA receptor dysregulation","Rigidity (lead-pipe/cogwheel)","CK >1000 U/L; autonomic instability; fever; identifiable organic etiology (ammonia >150; Na <120; Ca >14 mg/dL)"
"02","Schizophrenia Spectrum","11","Unspecified Catatonic Phenotype","Unspecified Catatonia","Catatonic presentation meeting symptom criteria but where the underlying etiology cannot be determined due to insufficient information","Withdrawal to noxious stimulus","3+ catatonic signs requiring emergency intervention; workup in progress"
"02","Schizophrenia Spectrum","12","Other Specified Schizophrenia Spectrum Phenotype","Other Specified Schizophrenia Spectrum and Other Psychotic Disorder","Atypical or subthreshold psychotic presentations that do not meet full criteria but produce clinically significant allostatic load","Proxy selection depends on specific presentation","Partial psychotic syndrome; functional decline without full criteria"
"02","Schizophrenia Spectrum","13","Unspecified Schizophrenia Spectrum Phenotype","Unspecified Schizophrenia Spectrum and Other Psychotic Disorder","Psychotic symptoms of unspecified neurobiological origin where insufficient data exist to map the specific circuit disruption","Awaits sufficient data","Symptoms present but unable to classify due to insufficient information"
"03","Bipolar","1","Manic Activation Phenotype","Manic Episode","A sympathoreticular hyperactivation state driven by catecholaminergic dysregulation and HPT axis disinhibition; reduced cortical GABAergic gating of thalamocortical relay circuits","RSA on deep breathing","RSA <8 bpm; sleep <4.5 h; speech rate >4.5 syl/s with grandiosity content; HRV HF <400 ms2; plasma norepinephrine >600 pg/mL"
"03","Bipolar","2","Hypomanic Activation Phenotype","Hypomanic Episode","A subthreshold sympathoreticular activation state defined by preserved inhibitory brake capacity; corticostriatal dopamine release elevated but within prefrontal regulatory range","RSA standing-to-supine drop","RSA <8 bpm; sleep <5.5 h; pause fraction <15%; HRV HF <300 ms2; speech rate >4.5 syl/s with pressured quality"
"03","Bipolar","3","Depressive Collapse Phenotype","Major Depressive Episode, Bipolar Type","A glucocorticoid-mediated energy conservation state driven by sustained HPA axis hyperactivation with eventual adrenal exhaustion; CRH hypersecretion with hippocampal glucocorticoid receptor downregulation","Cryogenic facial index","Evening cortisol >10 mcg/dL; IL-6 >5 pg/mL; kynurenine/tryptophan >0.05; cryogenic index >2.0; HR recovery <12 bpm"
"03","Bipolar","4","Bipolar II Phenotype","Bipolar II Disorder","An oscillatory allostatic system characterized by alternating Hypomanic Activation and Depressive Collapse phenotypes with sub-threshold autonomic intensity at the hypomanic pole","RSA variance across 7 days","RSA variance >6 bpm; sleep midpoint SD >2 h; <40% euthymic days; HRV HF <300 ms2; flat cortisol diurnal slope"
"03","Bipolar","5","Cyclothymic Oscillation Phenotype","Cyclothymic Disorder","A low-amplitude, high-frequency mood oscillation system operating within the subthreshold autonomic range for at least 2 years; oscillator time constant approximately 7-14 days per half-cycle","Daily wrist pulse amplitude","Pulse CV >15%; appetite variance >4; RSA alternating <8/>14 bpm; sleep <6 or >9 h; any subsyndromal crossover toward Somatic Debt thresholds"
"03","Bipolar","6","Substance/Medication-Induced Bipolar Phenotype","Substance/Medication-Induced Bipolar and Related Disorder","An exogenously driven catecholaminergic hyperactivation state that mirrors the Manic Activation Phenotype but with a defined pharmacological initiator and expected decay upon substance elimination","Urine drug screen","Symptoms persist >30 days after drug clearance; RSA <8 bpm after drug clearance; autonomous bipolar phenotype now established"
"03","Bipolar","7","Medical Condition-Coupled Bipolar Phenotype","Bipolar and Related Disorder Due to Another Medical Condition","A bipolar presentation arising from a demonstrable structural, endocrine, or inflammatory pathology where the mood state is a direct physiological consequence","Serum cortisol (Cushing's)","Laboratory values at or above diagnostic thresholds; RSA <8 bpm; structural lesion present"
"03","Bipolar","8","Subthreshold Bipolar Phenotype","Other Specified Bipolar and Related Disorder","A heterogeneous collection of incomplete or truncated bipolar presentations that do not meet full duration or symptom thresholds but show oscillatory limbic drive","Episode duration by actigraphy","Approaching full Manic or Depressive Collapse thresholds; conversion risk high"
"03","Bipolar","9","Unspecified Bipolar Phenotype","Unspecified Bipolar and Related Disorder","A default category for presentations with insufficient biometric information to assign a specific bipolar phenotype; placeholder status acknowledging incomplete data","Data sufficiency index","Crisis intervention required; phenotype assignment deferred until stabilization"
"03","Bipolar","10","Rapid Cycling Specifier","Rapid Cycling Specifier","Accelerated oscillatory frequency with four or more episode demarcations within 12 months; represents loss of regulatory amplitude control with accumulated allostatic load from repeated state transitions","RSA variance","RSA variance >6 bpm; >4 episode demarcations/year; HRV HF <300 ms2"
"04","Depressive","1","Disruptive Mood Dysregulation Phenotype","Disruptive Mood Dysregulation Disorder","A developmental allostatic state characterized by chronic, non-episodic irritability rooted in immature prefrontal inhibitory gating of amygdala-thalamic threat circuits","RSA frustration recovery","RSA <8 bpm; SCR latency <1.0 s; outbursts >4/week; recovery >30 min or failure to return to baseline"
"04","Depressive","2","Major Depressive Phenotype","Major Depressive Disorder","A glucocorticoid-mediated energy conservation state with demonstrable HPA axis non-suppression; CRH hypersecretion, tryptophan-kynurenine pathway shunting, and striatal dopamine D1 receptor downregulation","DST (dexamethasone suppression test)","DST non-suppression >5.0 mcg/dL; corrugator EMG >50 microV; HR recovery <12 bpm; evening cortisol >10 mcg/dL; IL-6 >5 pg/mL; kyn/tryp >0.05; grip <25/15 kg"
"04","Depressive","3","Persistent Depressive Phenotype","Persistent Depressive Disorder (Dysthymia)","A low-grade, chronic glucocorticoid adaptation sustained for >=2 years; HPA axis tonically elevated with reset set point; prefrontal cortical volume reduced from chronic dendritic retraction","Mean hair cortisol across 24 months","Hair cortisol >10 pg/mg; RMSSD <25 ms; sleep onset SD <30 or >180 min; k >0.05; full Criterion B symptom load >=4 with no 2-month respite"
"04","Depressive","4","Premenstrual Dysphoric Phenotype","Premenstrual Dysphoric Disorder","A cyclic neuroendocrine sensitivity state driven by normal luteal-phase progesterone elevation with abnormal central response to allopregnanolone and GABA-A receptor dysregulation","Prospective daily symptom charting","RSA delta >4 bpm; DRSP luteal mean >3x follicular; follicular score >2; luteal cortisol >8 nmol/L; marked functional impairment"
"04","Depressive","5","Substance/Medication-Induced Depressive Phenotype","Substance/Medication-Induced Depressive Disorder","An exogenously triggered depressive state with defined pharmacological initiator; driven by drug-induced depletion of monoamines, cytokine induction, or direct neurotoxicity","Drug level quantification","Symptoms persist >4 weeks after clearance; PHQ-9 >10 after full drug clearance; DST non-suppression; RSA <8 bpm; independent depressive oscillator now established"
"04","Depressive","6","Medical Condition-Coupled Depressive Phenotype","Depressive Disorder Due to Another Medical Condition","A depressive presentation arising directly from the pathophysiological effects of a medical condition — endocrine, neurological, inflammatory, or neoplastic","Condition-specific biomarker panel","Biomarkers at diagnostic threshold; PHQ-9 >10; RSA <10 bpm; DST non-suppression"
"04","Depressive","7","Subthreshold Depressive Phenotype","Other Specified Depressive Disorder","A collection of incomplete depressive presentations not meeting full duration or symptom thresholds: recurrent brief depression, short-duration depressive episode, or insufficient symptoms","12-month actigraphy + HRV","Episodes approaching 14 days; approaching 5 symptoms; RSA <10 bpm between episodes; on trajectory to meet full MDE criteria"
"04","Depressive","8","Unspecified Depressive Phenotype","Unspecified Depressive Disorder","A placeholder category for presentations with insufficient biometric data to assign a specific depressive phenotype; no biological state is asserted","Data sufficiency index","Crisis with no biometric baseline; emergency intervention required; phenotype assignment deferred until stabilization"
"05","Anxiety","1","Proximal Separation Phenotype","Separation Anxiety Disorder","HPA-axis hyperreactivity to interpersonal distance cues; oxytocin-vasopressin receptor binding dysregulation in periaqueductal gray; dorsal vagal withdrawal upon attachment figure absence","Corrugator hypertonicity","HRV <20 ms RMSSD; cortisol diurnal flattening; elevated CRP; refusal to separate; panic at anticipated separation"
"05","Anxiety","2","Vocal Selective Engagement Phenotype","Selective Mutism","Laryngeal-pharyngeal muscular fixation at social-safety appraisal threshold; trigeminal-hypoglossal nerve branch hypertonicity; ventral vagal-to-dorsal vagal switch as default social response","Submandibular tension","Dorsal vagal immobilization; laryngeal fixity on EMG; HR deceleration >10 bpm; inability to phonate"
"05","Anxiety","3","Conditioned Threat Reactivity Phenotype","Specific Phobia","Amygdalar conditioned threat-detection hyperactivation with impaired extinction recall; sympathetic anticipatory surge with subtype-specific autonomic signatures","Pupillary dilation index","SNS activation >3x baseline; syncope risk; complete avoidance lifestyle; avoidance-induced muscle atrophy"
"05","Anxiety","4","Social-Evaluative Threat Phenotype","Social Anxiety Disorder","Hyperactive medial prefrontal-amygdala social-evaluative threat detection circuit; sympathetic cholinergic vasodilation reflex (blushing) dysregulation","Facial thermal gradient","Pronounced blushing; gross tremor; voice break; profuse sweating; social isolation; panic in evaluative contexts"
"05","Anxiety","5","Unexpected Autonomic Cascade Phenotype","Panic Disorder","Medullary carbon dioxide chemosensor hypersensitivity (retrotrapezoid nucleus); locus coeruleus kindling with noradrenergic surge propagation; interoceptive hypervigilance","Breath-hold tolerance","Breath-hold <20 s; hyperventilation tendency; HRV <15 ms; elevated CO2 sensitivity; recurrent unexpected full panic attacks with agoraphobic avoidance"
"05","Anxiety","6","Spatial Safety Dysregulation Phenotype","Agoraphobia","Hippocampal spatial mapping with threat-overestimation in open/unconfined fields; vestibular-mismatch signaling in ego-space computation; sympathetic hypervigilance for escape-route availability","Romberg test","Marked Romberg instability; gait <0.8 m/s; freezing behavior; homebound; unable to navigate alone"
"05","Anxiety","7","Chronic Worry Perseveration Phenotype","Generalized Anxiety Disorder","Cortico-striato-thalamo-cortical loop perseveration with default mode network hyperconnectivity to threat-prediction circuits; HPA-axis low-grade chronic activation","Masseter resting tone","Cortisol flat diurnal curve; HRV <15 ms; RR >18; insomnia; exhaustion; constant worry; chronic muscle pain; palpable trigger points in 2+ muscle groups"
"05","Anxiety","8","Substance/Medication-Induced Anxiety Phenotype","Substance/Medication-Induced Anxiety Disorder","Exogenous substance interference with GABA-glutamate balance, monoaminergic signaling, or HPA-axis regulation producing transient phenotypic anxiety","Temporal correlation mapping","Severe anxiety requiring medical attention; positive toxicology; autonomic instability; unable to clear substance"
"05","Anxiety","9","Somatic-Secondary Anxiety Phenotype","Anxiety Disorder Due to Another Medical Condition","Direct pathophysiological anxiety production by endocrine, cardiovascular, respiratory, metabolic, or neurological disease processes; cytokine-mediated neuroinflammation affecting limbic circuits","Temporal disease correlation","Marked lab abnormalities; hospitalization-level anxiety; disease-driven panic; severe functional impairment"
"05","Anxiety","10","Subthreshold Anxiety Presentation","Other Specified Anxiety Disorder","Partial autonomic dysregulation or incomplete threat-circuit sensitization typically presenting as limited-symptom attacks, generalized anxiety not meeting duration threshold, or culturally patterned presentations","Proxy selection depends on subphenotype","Significant distress despite subthreshold criteria; functional impairment; measurable autonomic deviation"
"05","Anxiety","11","Unspecified Anxiety Presentation","Unspecified Anxiety Disorder","Anxiety symptoms causing distress/impairment with insufficient information to specify a particular anxiety adaptation; typically emergency or initial presentation","Provisional observation","Severe anxiety requiring immediate intervention before full phenotyping; elevated HR/BP requiring stabilization"
"05","Anxiety","12","Panic Attack Specifier","Panic Attack Specifier","Acute sympathetic-parasympathetic autonomic surge with peak intensity within 10 minutes; noradrenergic locus coeruleus bolus; respiratory alkalosis from hyperventilation","Respiratory alkalosis signs","Recurrent unexpected full attacks with catastrophic cognition; attacks >1/week; HR >140 bpm at peak; alkalosis present"
"06","OCD","1","Obsessive-Compulsive Phenotype","Obsessive-Compulsive Disorder","Cortico-striato-thalamo-cortical (CSTC) loop hyperactivation with orbitofrontal-anterior cingulate-striatal overdrive; caudate nucleus failure to gate intrusive corticothalamic information","Glabellar tap response","Marked CSTC hypermetabolism on PET; striatal volume reduction; poor or absent insight; time-consuming compulsions"
"06","OCD","2","Appearance Preoccupation Phenotype","Body Dysmorphic Disorder","Visual processing bias toward detail-feature analysis over holistic gestalt with fusiform gyrus hyperactivation for self-face and reduced occipitotemporal configural processing","Visual exploration tracking","Marked fusiform detail-bias; striatal hypermetabolism; poor/absent insight; 3-8 hr/day preoccupation; housebound; comorbid skin damage from picking"
"06","OCD","3","Possession Retention Phenotype","Hoarding Disorder","Anterior cingulate and insular hyperreactivity to discarding decisions; ventromedial prefrontal valuation system dysfunction assigning excessive salience to saved objects","Discard hesitation time","Discard hesitation >15 s; marked GSR activation; severe clutter compromising living areas; acquisition despite no space; health/safety risk; eviction risk"
"06","OCD","4","Hair-Pulling Phenotype","Trichotillomania (Hair-Pulling Disorder)","Sensorimotor striatal loop hyperactivation for hair-directed procedural behavior; somatosensory cortex hypersensitivity to hair-texture signals; opioidergic reward dysregulation","Hair density assessment","Complete alopecia patches; trichobezoar risk; scalp scarring; inability to stop; social avoidance"
"06","OCD","5","Skin-Picking Phenotype","Excoriation (Skin-Picking) Disorder","Sensorimotor striatal hyperactivation for skin-directed picking behavior; somatosensory craving for irregularity detection and removal; opioidergic tension-release reinforcement","Skin lesion mapping",">5 active lesions; scarring; infection; antibiotic treatment; severe tissue damage; social avoidance"
"06","OCD","6","Substance/Medication-Induced OCD & Related Adaptation","Substance/Medication-Induced Obsessive-Compulsive and Related Disorder","Exogenous substance (primarily stimulants) interference with striatal dopamine and serotonin signaling producing transient obsessive-compulsive symptoms","Toxicology correlation","Positive toxicology + significant tissue damage; severe OCD/related symptoms requiring intervention during use/withdrawal"
"06","OCD","7","Somatic-Secondary OCD & Related Adaptation","Obsessive-Compulsive and Related Disorder Due to Another Medical Condition","Direct pathophysiological production of OCD/related symptoms by neurological disease affecting striatal basal ganglia (infarction, infection, autoimmune)","Neurological examination","Fixed structural lesion; persistent autoimmune activity; severe OC/related symptoms from chronic striatal pathology"
"06","OCD","8","Subthreshold OC & Related Presentation","Other Specified Obsessive-Compulsive and Related Disorder","Partial CSTC circuit involvement; subthreshold repetitive behavior patterns including body-focused repetitive behavior disorder and culturally patterned variants","Provisional observation","Measurable CSTC metabolic deviation; tissue damage; relationship dissolution; significant distress/impairment despite subthreshold criteria"
"06","OCD","9","Unspecified OC & Related Presentation","Unspecified Obsessive-Compulsive and Related Disorder","OC/related symptoms causing distress/impairment with insufficient information to specify a particular adaptation; emergency or initial presentation","Provisional observation","Severe symptoms requiring intervention; tissue damage or severe functional impairment"
"07","Trauma","1","Attachment Inhibition Phenotype","Reactive Attachment Disorder","Primary attachment circuitry suppression via medial prefrontal cortex inhibition of oxytocinergic and dopaminergic reward pathways during caregiver interaction; chronic hypercortisolism","RSA during caregiver approach","No comfort-seeking; RSA flat or decreases to caregiver; RSA <0.3 ms2; HR accelerates on reunion; no pupillary differential"
"07","Trauma","2","Disinhibited Social Approach Phenotype","Disinhibited Social Engagement Disorder","Failure of amygdala-based threat discrimination circuitry due to insufficient peripubertal pruning of indiscriminate approach behaviors; OFC hypoactivation","Skin Conductance Response to Stranger","No stranger aversion; approaches indiscriminately; SCR <0.3 microS differential; startle potentiation <30%"
"07","Trauma","3","Posttraumatic Stress Phenotype","Posttraumatic Stress Disorder","Permanent sensitization of the amygdala-central nucleus-locus coeruleus threat detection circuit following trauma encoding; hippocampal volume reduction impairs contextual discrimination","Startle Response Habituation","RSA <1.2 ms2; <50% startle habituation; SCR >3 microS; HR >85 bpm at rest; chronic hyperarousal; dissociative features"
"07","Trauma","4","Acute Stress Phenotype","Acute Stress Disorder","Acute noradrenergic storm with locus coeruleus hyperactivation producing generalized sympathetic surge within 72 hours of trauma; hippocampal-prefrontal memory consolidation disrupted","Heart Rate at Rest","HR >95 bpm; no startle habituation; SCL >5 microS; dissociative features; full symptom cluster persisting >72 h"
"07","Trauma","5","Adjustment Phenotypes","Adjustment Disorders","Subcortical stress-response circuitry activation proportional to a psychosocial stressor not meeting trauma threshold; HPA axis elevation produces downstream effects on mood, anxiety, or conduct","Heart Rate Variability (HRV)","HRV <25 ms RMSSD; flattened cortisol diurnal slope; marked distress disproportionate to stressor; functional limitation"
"07","Trauma","6","Other Specified Trauma/Stressor Phenotype","Other Specified Trauma- and Stressor-Related Disorder","Partial threat-sensitization or atypical stress-response circuit activation not meeting full criteria of any specified trauma phenotype but producing quantifiable allostatic load","Heart Rate Reactivity","Biomarkers deviate but not in full PTSD pattern; significant distress with atypical presentation"
"07","Trauma","7","Unspecified Trauma/Stressor Phenotype","Unspecified Trauma- and Stressor-Related Disorder","Stress-response circuit dysregulation present but insufficient information to map the specific pattern; circuit analysis deferred","Awaits sufficient data","Insufficient data for classification; pending evaluation"
"08","Dissociative","1","Identity Fragmentation Phenotype","Dissociative Identity Disorder","Developmental trauma produces structural dissociation of consciousness via recurrent dorsolateral PFC suppression of limbic-encoded self-states during overwhelming events","Pupillary Response Across States",">3 attractors; >20% HRV variation; >2 microS SCR differential; pupillary shifts >1.5 mm; recurrent amnesia; distinct identity states"
"08","Dissociative","2","Autobiographical Retrieval Suppression Phenotype","Dissociative Amnesia / Dissociative Fugue","Prefrontal cortex actively suppresses hippocampal retrieval of autobiographical information following overwhelming stress; memory encoded but access gated by prefrontal inhibitory circuits","Pupillary Response During Recall Attempt","SCR >2 microS; HR increase >15 bpm; pupillary dilation >2 mm without recall; generalized amnesia or fugue; complete autobiographical blockade"
"08","Dissociative","3","Self-Unreality Phenotype","Depersonalization/Derealization Disorder","Chronic prefrontal-limbic decoupling in which dorsolateral prefrontal cortex suppresses amygdala and insula interoceptive processing, producing subjective unreality of self and environment","Skin Conductance to Emotional Stimuli","SCR <0.3 microS differential; pupillary <0.5 mm differential; HR response <5 bpm; persistent or recurrent depersonalization/derealization; marked hyporeactivity"
"08","Dissociative","4","Other Specified Dissociative Phenotype","Other Specified Dissociative Disorder","Partial or atypical dissociative circuit dysregulation not meeting threshold for full identity fragmentation, amnesia, or self-unreality phenotypes","Skin Conductance / Pupillary Response","Functional limitation from dissociative symptoms; significant autonomic dysregulation"
"08","Dissociative","5","Unspecified Dissociative Phenotype","Unspecified Dissociative Disorder","Dissociative circuit dysregulation present but insufficient information for precise mapping","Awaits sufficient data","Insufficient data for classification pending evaluation"
"09","Somatic","1","Somatic Symptom Phenotype","Somatic Symptom Disorder","Chronic hyper-vigilant interoceptive state with sustained sympathetic activation, elevated baseline cortisol, reduced vagal tone, and amplified insular-anterior cingulate gain on visceral afferent signals","HRV via radial pulse palpation","HRV <20 ms RMSSD; cortisol >25 mcg/dL; pupillary hyperreactivity >1.5 mm; severe symptoms with functional incapacitation"
"09","Somatic","2","Somatic Symptom Phenotype with Predominant Pain","Somatic Symptom Disorder with Predominant Pain","Central sensitization phenotype with spinothalamic gain amplification, descending inhibitory pathway failure, and limbic-insula hyperactivation encoding pain as persistent threat","Pressure pain threshold","PPT <2.0 kg/cm2; CPM <10%; temporal summation present; widespread allodynia; pain without tissue correlate"
"09","Somatic","3","Illness Anxiety Phenotype","Illness Anxiety Disorder","Hyper-vigilant health-threat detection circuit with amygdala-prefrontal hyperreactivity to illness-related cues, sustained sympathetic arousal, and failure of safety-signal extinction","Heart rate response to health-threat words","HR reactivity >8 bpm; pupillary dilation >0.8 mm; incapacitating health anxiety; unresponsive to reassurance"
